image_path,plate_id,plate_number,province,first_line_bbox,second_line_bbox
plate-0.png,คารวะ,32,สุโขทัย,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-1.png,ปัศจิม,0573,ระยอง,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-2.png,ปูม,27,มหาสารคาม,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-3.png,ตอม่อ,41,สุราษฎร์ธานี,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-4.png,พลอง,5168,นครพนม,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-5.png,ปาตี,63,สมุทรสงคราม,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-6.png,อุบาย,80,แม่ฮ่องสอน,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-7.png,ภูริ,17,สิงห์บุรี,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-8.png,จอง,731,บึงกาฬ,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-9.png,จิตรา,70,สุพรรณบุรี,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-10.png,รัช,5427,สิงห์บุรี,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-11.png,อ่าง,3450,บุรีรัมย์,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-12.png,ไขสือ,362,เพชรบุรี,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-13.png,พิศวง,74,พระนครศรีอยุธยา,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-14.png,ค่าย,204,สกลนคร,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-15.png,เกี่ยว,837,สมุทรสงคราม,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-16.png,งน,4731,ระนอง,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-17.png,กระแบะ,6482,ฉะเชิงเทรา,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
plate-18.png,ม่วง,023,อำนาจเจริญ,"((0, 0), (467, 0), (467, 130), (0, 130))","((0, 130), (467, 130), (467, 204), (0, 204))"
