image_path,plate_id,plate_number,province,first_line_bbox,second_line_bbox
plate-0.png,นาย,15,อำนาจเจริญ,"[(127, 0), (329, 0), (329, 130), (127, 130)]","[(138, 130), (329, 130), (329, 467), (138, 467)]"
plate-1.png,เก๊ก,1034,ขอนแก่น,"[(98, 0), (358, 0), (358, 130), (98, 130)]","[(166, 130), (301, 130), (301, 467), (166, 467)]"
plate-2.png,โหร,0126,สตูล,"[(97, 0), (360, 0), (360, 130), (97, 130)]","[(199, 130), (267, 130), (267, 467), (199, 467)]"
plate-3.png,ลง,8053,ลำปาง,"[(102, 0), (354, 0), (354, 130), (102, 130)]","[(181, 130), (286, 130), (286, 467), (181, 467)]"
plate-4.png,ชิน,150,ลำปาง,"[(128, 0), (328, 0), (328, 130), (128, 130)]","[(181, 130), (286, 130), (286, 467), (181, 467)]"
plate-5.png,บำราศ,35,นครพนม,"[(85, 0), (372, 0), (372, 130), (85, 130)]","[(164, 130), (302, 130), (302, 467), (164, 467)]"
plate-6.png,คูถ,681,นครพนม,"[(127, 0), (330, 0), (330, 130), (127, 130)]","[(164, 130), (302, 130), (302, 467), (164, 467)]"
plate-7.png,รัย,7160,สมุทรสาคร,"[(110, 0), (346, 0), (346, 130), (110, 130)]","[(147, 130), (320, 130), (320, 467), (147, 467)]"
plate-8.png,ตฤณ,4132,ร้อยเอ็ด,"[(77, 0), (379, 0), (379, 130), (77, 130)]","[(172, 130), (294, 130), (294, 467), (172, 467)]"
plate-9.png,หว่าน,5170,ศรีสะเกษ,"[(70, 0), (386, 0), (386, 130), (70, 130)]","[(164, 130), (302, 130), (302, 467), (164, 467)]"
plate-10.png,ขโมย,4082,สิงห์บุรี,"[(67, 0), (390, 0), (390, 130), (67, 130)]","[(179, 130), (287, 130), (287, 467), (179, 467)]"
plate-11.png,เซ้ง,6784,นราธิวาส,"[(97, 0), (360, 0), (360, 130), (97, 130)]","[(160, 130), (306, 130), (306, 467), (160, 467)]"
plate-12.png,เฮ้,8,อ่างทอง,"[(169, 0), (288, 0), (288, 130), (169, 130)]","[(170, 130), (297, 130), (297, 467), (170, 467)]"
